id,Zip,Price,Price of square meter,Building Cond. values,Number of facades,Number of rooms,Living area,Furnished,Kitchen values,Surface of the land,Primary energy consumption,Energy_classes,Terrace,Terrace surface,Garden,Garden surface,Open fire,Swimming pool
10592767,9800,395000,3989.9,4.0,4.0,2.0,99.0,0.0,3.0,,1.0,7,1,12.0,1,,0.0,0.0
10585594,9890,260000,3421.05,4.0,4.0,1.0,76.0,0.0,3.0,,1.0,7,1,11.0,0,0.0,0.0,0.0
10585588,9890,265000,3486.84,4.0,4.0,1.0,76.0,0.0,3.0,,1.0,7,1,11.0,0,0.0,0.0,0.0
10585600,9890,311000,3206.19,4.0,4.0,2.0,97.0,0.0,3.0,,1.0,7,1,10.0,0,0.0,0.0,0.0
10585607,9890,323500,3335.05,4.0,4.0,2.0,97.0,0.0,3.0,,1.0,7,1,10.0,0,0.0,0.0,0.0
10585598,9890,351000,3133.93,4.0,4.0,3.0,112.0,0.0,3.0,,1.0,7,1,10.0,0,0.0,0.0,0.0
10585606,9890,355000,3198.2,4.0,4.0,3.0,111.0,0.0,3.0,,1.0,7,1,10.0,0,0.0,0.0,0.0
10585605,9890,355000,3227.27,4.0,4.0,2.0,110.0,0.0,3.0,,1.0,7,1,10.0,0,0.0,0.0,0.0
10585590,9890,356000,3095.65,4.0,4.0,3.0,115.0,0.0,3.0,,1.0,7,1,11.0,0,0.0,0.0,0.0
10585595,9890,361000,2865.08,4.0,4.0,2.0,126.0,0.0,3.0,,1.0,7,1,11.0,0,0.0,0.0,0.0
10585592,9890,366000,2904.76,4.0,4.0,3.0,126.0,0.0,3.0,,1.0,7,1,11.0,0,0.0,0.0,0.0
10585586,9890,405000,2454.55,4.0,4.0,2.0,165.0,0.0,3.0,,1.0,7,1,11.0,0,0.0,0.0,0.0
10585604,9890,421000,2883.56,4.0,4.0,3.0,146.0,0.0,3.0,,1.0,7,1,11.0,0,0.0,0.0,0.0
10585602,9890,426000,2878.38,4.0,4.0,3.0,148.0,0.0,3.0,,1.0,7,1,11.0,0,0.0,0.0,0.0
10582158,1050,1537000,9606.25,4.0,2.0,2.0,160.0,0.0,3.0,,63.0,7,1,91.0,0,0.0,0.0,0.0
10594525,9280,247000,2470.0,3.0,2.0,2.0,100.0,0.0,2.0,,440.0,3,1,,1,280.0,1.0,0.0
10592765,9800,250000,3968.25,4.0,4.0,1.0,63.0,0.0,3.0,,1.0,7,1,10.0,1,,0.0,0.0
