,id,Zip,Price,Price of square meter,Living area,Number of rooms,Furnished,Garden surface,Terrace surface,Open fire,Building Cond. values,Kitchen values,Primary energy consumption,Energy efficiency
0,10591097,1410,297000,5120.69,58.0,1.0,0.0,0.0,7.0,0.0,4.0,3.0,15.0,7.0
1,10591096,1410,530000,4529.91,117.0,2.0,0.0,0.0,15.0,0.0,4.0,3.0,15.0,7.0
2,10591095,1410,605000,4481.48,135.0,3.0,0.0,0.0,15.0,0.0,4.0,3.0,15.0,7.0
3,10593366,1200,359000,2826.77,127.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0,174.0,6.0
4,10589043,1340,374000,2493.33,150.0,2.0,0.0,80.0,8.0,0.0,4.0,3.0,122.0,6.0
5,10589042,1340,465000,3576.92,130.0,2.0,0.0,80.0,8.0,0.0,4.0,3.0,122.0,6.0
6,10592578,2660,195000,2166.67,90.0,2.0,0.0,0.0,3.0,0.0,3.0,2.0,220.0,5.0
7,10591130,4500,205000,2157.89,95.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,235.0,5.0
8,10591561,2100,269000,2611.65,103.0,1.0,0.0,0.0,6.0,0.0,3.0,1.0,171.0,6.0
9,10591563,2140,269000,2611.65,103.0,1.0,0.0,0.0,6.0,0.0,3.0,1.0,171.0,6.0
10,10590895,1150,290000,5918.37,49.0,1.0,0.0,0.0,30.0,0.0,2.0,0.0,621.0,1.0
11,10591590,3720,295000,3511.9,84.0,2.0,0.0,0.0,14.0,0.0,3.0,1.0,98.0,7.0
12,10592391,2100,330000,2037.04,162.0,3.0,0.0,0.0,10.0,0.0,3.0,2.0,238.0,5.0
13,10590740,4000,395000,2668.92,148.0,3.0,0.0,0.0,13.0,0.0,2.0,1.0,500.0,2.0
14,10588485,4040,129000,2303.57,56.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,424.0,3.0
15,10590028,2610,175000,2500.0,70.0,2.0,0.0,0.0,9.0,0.0,3.0,1.0,220.0,5.0
16,10589917,1400,180000,2400.0,75.0,2.0,0.0,0.0,10.0,0.0,3.0,1.0,256.0,5.0
17,10589021,1210,280000,3684.21,76.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,416.0,3.0
18,10589880,1082,340000,2677.17,127.0,3.0,0.0,0.0,3.0,0.0,4.0,1.0,209.0,5.0
19,10589149,1030,390000,3391.3,115.0,2.0,0.0,105.0,7.0,0.0,3.0,3.0,272.0,5.0
20,10595037,1495,250000,2173.91,115.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,218.0,5.0
21,10583368,1435,374000,2493.33,150.0,2.0,0.0,80.0,8.0,0.0,4.0,3.0,122.0,6.0
22,10583186,1341,415000,2985.61,139.0,2.0,0.0,0.0,44.0,0.0,4.0,3.0,116.0,6.0
23,10583369,1435,465000,3576.92,130.0,2.0,0.0,80.0,8.0,0.0,4.0,3.0,122.0,6.0
24,10587647,2600,199500,2660.0,75.0,2.0,0.0,0.0,4.0,0.0,3.0,1.0,128.0,6.0
25,10587682,6700,228000,2400.0,95.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,231.0,5.0
26,10585368,6700,379000,3383.93,112.0,2.0,0.0,0.0,10.0,0.0,3.0,1.0,83.0,7.0
27,10586195,1160,399000,4433.33,90.0,2.0,0.0,0.0,6.0,0.0,3.0,3.0,228.0,5.0
28,10586904,1180,399000,2850.0,140.0,3.0,0.0,0.0,5.0,0.0,1.0,1.0,177.0,6.0
29,10580345,1348,374000,2493.33,150.0,2.0,0.0,80.0,8.0,0.0,4.0,3.0,122.0,6.0
30,10580343,1348,465000,3576.92,130.0,2.0,0.0,80.0,8.0,0.0,4.0,3.0,122.0,6.0
31,10571431,1090,315000,3150.0,100.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,73.0,7.0
32,10583741,4500,169000,1742.27,97.0,3.0,0.0,0.0,8.0,0.0,3.0,2.0,275.0,5.0
33,10485647,2830,195000,1857.14,105.0,3.0,0.0,0.0,8.0,0.0,1.0,2.0,391.0,4.0
34,10485645,2830,195000,1857.14,105.0,3.0,0.0,0.0,8.0,0.0,1.0,2.0,391.0,4.0
35,10584259,1030,199000,2369.05,84.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,514.0,2.0
36,10583624,4470,235000,2350.0,100.0,3.0,0.0,0.0,6.0,0.0,3.0,1.0,112.0,6.0
37,10518610,1030,265000,3117.65,85.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,422.0,3.0
