,id,Price,Type of property,Subtype of property,Locality,Surroundings type,Energy class,Heating type,Province,Zip,Living area,Number of rooms,Bathrooms,Construction year,Number of facades,Swimming pool,Furnished,Open fire,Terrace,Terrace surface,Garden,Garden surface,Primary energy consumption,Kitchen values,Building Cond. values,Parking,Urban_value,Normal_apt,Big_apt
0,10592767,395000.0,apartment,apartment,deinze,Urban,A,Gas,East Flanders,9800.0,99.0,2.0,1.0,2023.0,4.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,1.0,3.0,4.0,111.0,0,1,0
1,10585594,260000.0,apartment,apartment,gavere,Urban,A,Gas,East Flanders,9890.0,76.0,1.0,1.0,2021.0,4.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,3.0,4.0,2.0,0,1,0
2,10585588,265000.0,apartment,apartment,gavere,Urban,A,Gas,East Flanders,9890.0,76.0,1.0,1.0,2021.0,4.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,3.0,4.0,2.0,0,1,0
3,10585600,311000.0,apartment,apartment,gavere,Urban,A,Gas,East Flanders,9890.0,97.0,2.0,1.0,2021.0,4.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,3.0,4.0,2.0,0,1,0
4,10585607,323500.0,apartment,apartment,gavere,Urban,A,Gas,East Flanders,9890.0,97.0,2.0,1.0,2021.0,4.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,3.0,4.0,2.0,0,1,0
5,10585598,351000.0,apartment,apartment,gavere,Urban,A,Gas,East Flanders,9890.0,112.0,3.0,1.0,2021.0,4.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,3.0,4.0,2.0,0,1,0
6,10585606,355000.0,apartment,apartment,gavere,Urban,A,Gas,East Flanders,9890.0,111.0,3.0,2.0,2021.0,4.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,3.0,4.0,2.0,0,1,0
7,10585605,355000.0,apartment,apartment,gavere,Urban,A,Gas,East Flanders,9890.0,110.0,2.0,1.0,2021.0,4.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,3.0,4.0,2.0,0,1,0
8,10585590,356000.0,apartment,apartment,gavere,Urban,A,Gas,East Flanders,9890.0,115.0,3.0,2.0,2021.0,4.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,3.0,4.0,2.0,0,1,0
9,10585595,361000.0,apartment,apartment,gavere,Urban,A,Gas,East Flanders,9890.0,126.0,2.0,1.0,2021.0,4.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,3.0,4.0,2.0,0,1,0
10,10585592,366000.0,apartment,apartment,gavere,Urban,A,Gas,East Flanders,9890.0,126.0,3.0,2.0,2021.0,4.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,3.0,4.0,2.0,0,1,0
11,10585586,405000.0,apartment,apartment,gavere,Urban,A,Gas,East Flanders,9890.0,165.0,2.0,2.0,2021.0,4.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,3.0,4.0,2.0,0,1,0
12,10585604,421000.0,apartment,duplex,gavere,Urban,A,Gas,East Flanders,9890.0,146.0,3.0,2.0,2021.0,4.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,3.0,4.0,2.0,0,0,1
13,10585602,426000.0,apartment,duplex,gavere,Urban,A,Gas,East Flanders,9890.0,148.0,3.0,2.0,2021.0,4.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,3.0,4.0,2.0,0,0,1
14,10582158,1537000.0,apartment,apartment,ixelles,Urban,B,Gas,Brussels Capital Region,1050.0,160.0,2.0,2.0,2015.0,2.0,0.0,0.0,0.0,1.0,91.0,0.0,0.0,63.0,3.0,4.0,2.0,1,1,0
15,10594525,247000.0,apartment,apartment,lebbeke,,E,Electric,East Flanders,9280.0,100.0,2.0,1.0,1978.0,2.0,0.0,0.0,1.0,1.0,7.2,1.0,280.0,440.0,2.0,3.0,7.0,0,1,0
16,10592765,250000.0,apartment,apartment,deinze,Urban,A,Gas,East Flanders,9800.0,63.0,1.0,1.0,2023.0,4.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,1.0,3.0,4.0,111.0,0,1,0
17,10591097,297000.0,apartment,apartment,waterloo,Urban,A+,Gas,Walloon Brabant,1410.0,58.0,1.0,1.0,2025.0,4.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,15.0,3.0,4.0,73.0,0,1,0
18,10592764,375000.0,apartment,apartment,deinze,Urban,A,Gas,East Flanders,9800.0,85.0,2.0,1.0,2023.0,4.0,0.0,0.0,0.0,1.0,28.0,1.0,0.0,1.0,3.0,4.0,111.0,0,1,0
19,10591096,530000.0,apartment,apartment,waterloo,Urban,A+,Gas,Walloon Brabant,1410.0,117.0,2.0,2.0,2025.0,4.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,15.0,3.0,4.0,73.0,0,1,0
20,10591095,605000.0,apartment,apartment,waterloo,Urban,A+,Gas,Walloon Brabant,1410.0,135.0,3.0,2.0,2025.0,4.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,15.0,3.0,4.0,73.0,0,1,0
21,10593414,155000.0,apartment,flat studio,schaerbeek,"Living area (residential, urban or rural)",G,Gas,Brussels Capital Region,1030.0,32.0,2.4,1.0,1983.0,2.0,0.0,1.0,0.0,1.0,13.0,0.0,0.0,364.0,1.0,3.0,0.0,1,1,0
22,10593270,279000.0,apartment,apartment,waregem,,A,Gas,West Flanders,8790.0,93.0,2.0,1.0,1997.0,2.0,0.0,1.0,0.0,1.0,22.0,0.0,0.0,95.0,1.0,3.0,0.0,0,1,0
